name,demand,cutoff,yield,trueyield,preferability
Gardner-Webb University,435,0.06891141440416443,0.16,0.0006204556961860412,9.71172838742086e-6
Ohio Valley University,91,0.06966700136804643,0.28,0.000129901895557081,2.046471465569907e-6
Oregon Institute of Technology,363,0.0698121750246418,0.18,0.000518260960815183,8.174843071912868e-6
Texas A & M University-Texarkana,187,0.07055987676592373,0.61,0.0002671976975336051,4.241772262259856e-6
Wingate University,642,0.07095810803969202,0.15,0.0009177243441977013,1.4618897929512723e-5
Washington State University,4163,0.07163392482782274,0.34,0.0059552455144578085,9.541529524292006e-5
Millersville University of Pennsylvania,1299,0.07273922145990026,0.33,0.0018604576238196286,3.007835358539966e-5
Franklin College,296,0.0731414467548563,0.22,0.0004241219706479043,6.879162697458976e-6
Shenandoah University,459,0.07331690391013368,0.3,0.0006578001469804536,1.0684479796603345e-5
Maine Maritime Academy,225,0.07354404738472133,0.44,0.0003225301092516327,5.248339952416719e-6
Lake Erie College,205,0.07408247925439666,0.32,0.00029403164968016903,4.8053537045137e-6
Central Connecticut State University,1293,0.0741075783917384,0.36,0.0018546011173358567,3.031582690724335e-5
Southern Virginia University,226,0.07480370867943224,0.3,0.00032440465510458807,5.332150499990018e-6
Hood College,281,0.07514097848219975,0.21,0.00040349978190280474,6.650007871525659e-6
Slippery Rock University of Pennsylvania,1409,0.07757966284243208,0.38,0.002028591704554942,3.4093660519366647e-5
University of Indianapolis,830,0.07806625220464235,0.19,0.0011956137507352594,2.0172435724092802e-5
Lubbock Christian University,255,0.078158139637713,0.34,0.0003673637306539588,6.202687431720796e-6
University of Pittsburgh-Johnstown,772,0.07980498935945851,0.54,0.001114166119207479,1.9060339887933893e-5
Bridgewater College,536,0.08016053354719356,0.18,0.0007738651192191161,1.327624978596774e-5
Rocky Mountain College,238,0.08034700118503019,0.26,0.0003436888851663749,5.90496714875094e-6
Texas Wesleyan University,273,0.08340219586011834,0.27,0.0003955454163508474,6.964748471157e-6
Grace University,96,0.08468336624625515,0.63,0.00013928758224249823,2.478413158421831e-6
University of Pittsburgh-Greensburg,394,0.08525692753839613,0.34,0.0005720178934617551,1.0226472378099168e-5
Worcester State University,780,0.08551398277704013,0.31,0.0011327395256120064,2.0293929529646004e-5
University of North Carolina at Greensboro,2516,0.08605654709214162,0.41,0.0036559801772632562,6.579128574927203e-5
Alaska Pacific University,33,0.0862373645732203,0.18,4.796153411280555e-5,8.643321272351681e-7
Ottawa University-Ottawa,145,0.08865538154861233,0.55,0.0002112992183529147,3.882618993123315e-6
Cumberland University,212,0.08872773890168763,0.56,0.0003089585597455794,5.680445300820908e-6
Illinois College,270,0.0896412268881041,0.17,0.0003938797956665861,7.295842241198073e-6
University of Minnesota-Crookston,213,0.09012863813348664,0.4,0.00031089384868736406,5.781667091700175e-6
Concordia University-Irvine,373,0.09062449206767444,0.2,0.0005447259942124956,1.0171428898861664e-5
Grand View University,298,0.0913656978725737,0.39,0.0004355516444181282,8.182423074672313e-6
Holy Cross College,157,0.09159294421694958,0.3,0.00022952588744692309,4.31999805892745e-6
Pennsylvania State University-Penn State Erie-Behrend College,1080,0.09214729057378519,0.37,0.001579868292790463,2.9871113142106746e-5
Seton Hill University,386,0.09288205410383193,0.25,0.0005651140011934074,1.0748979473890371e-5
Hiram College,290,0.0929789326202166,0.2,0.00042461286171709844,8.08289309057578e-6
Western Carolina University,1558,0.09353236678050092,0.27,0.0022825887549398557,4.364723754939605e-5
Westminster College,309,0.09411117655892304,0.12,0.00045299780699820834,8.702384520254505e-6
Greenville College,277,0.09428017213249215,0.24,0.00040616118301744965,7.813184657649387e-6
Central Methodist University-College of Liberal Arts and Sciences,291,0.09460842178604272,0.35,0.00042684388118149923,8.232626713320427e-6
Iowa Wesleyan College,103,0.09465124770576917,0.13,0.00015108934516969052,2.9150874124138844e-6
University of Toledo,3428,0.09472401684140197,0.34,0.005028892315970295,9.708273336124906e-5
Bowling Green State University-Main Campus,3348,0.09521200790444406,0.29,0.004914180935531504,9.52222174649096e-5
Morehead State University,1649,0.09556936862687027,0.37,0.00242135192060063,4.704174620333113e-5
Eastern Michigan University,2636,0.09572627581668361,0.35,0.0038713105937692458,7.529638210338949e-5
Eastern Kentucky University,2306,0.0957601585968583,0.39,0.0033867893558479022,6.588807996383573e-5
Lakeland College,218,0.09646073126194579,0.37,0.0003204217463461836,6.263383334583319e-6
Sterling College,169,0.09709097933524602,0.43,0.0002485737329206751,4.879880500113007e-6
University of Arkansas-Fort Smith,1343,0.09757464078937096,0.6,0.00197641091337535,3.8928545008880444e-5
Northern Illinois University,2679,0.09768603555787397,0.18,0.003943007077218832,7.772217320712506e-5
Saint Xavier University,594,0.0978371933491157,0.11,0.0008744078505175887,1.725285117751956e-5
Rider University,911,0.0980648776028425,0.16,0.001341391652624054,2.6506099088508e-5
Saint Vincent College,472,0.09827957847812037,0.34,0.0006951565431368078,1.3755430993564576e-5
Black Hills State University,619,0.09840702489292562,0.72,0.000911785437197337,1.8056757447905302e-5
West Virginia Wesleyan College,471,0.09851150057883583,0.35,0.0006938622149107681,1.3750230621285853e-5
Texas Lutheran University,346,0.09891302081841823,0.39,0.0005099433190507496,1.0131367520043146e-5
Rockford University,113,0.09931651203172293,0.26,0.0001666167903593587,3.3187852310998684e-6
University of Memphis,2134,0.10076062928329597,0.52,0.003151603859889292,6.335872357507735e-5
